sample_id	filename	subject_id	species	pcr_target_locus	tissue	sex	age	biomaterial_provider	single_cell	time_point
9320-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9320-LI-2/vdj_t/airr_rearrangement.tsv	s9320	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9320-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9320-LI-5/vdj_t/airr_rearrangement.tsv	s9320	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9331-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9331-LI-2/vdj_t/airr_rearrangement.tsv	s9331	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9331-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9331-LI-5/vdj_t/airr_rearrangement.tsv	s9331	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9553-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9553-LI-2/vdj_t/airr_rearrangement.tsv	s9553	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9553-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9553-LI-5/vdj_t/airr_rearrangement.tsv	s9553	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9554-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9554-LI-2/vdj_t/airr_rearrangement.tsv	s9554	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9554-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9554-LI-5/vdj_t/airr_rearrangement.tsv	s9554	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9556-LI-2-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9556-LI-2/vdj_t/airr_rearrangement.tsv	s9556	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9556-LI-5-G2	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem2/9556-LI-5/vdj_t/airr_rearrangement.tsv	s9556	human	TR	blood	NA	NA	peters_lab	TRUE	D7
3691-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim4/gem1/3691-LI-2/vdj_t/airr_rearrangement.tsv	s3691	human	TR	blood	NA	NA	peters_lab	TRUE	D0
3691-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim4/gem1/3691-LI-5/vdj_t/airr_rearrangement.tsv	s3691	human	TR	blood	NA	NA	peters_lab	TRUE	D7
